Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0805_2012Metric",120.000000,-55.950000,-90.000000,top
"C2","C 10uF/63v","C_1210_3225Metric",122.500000,-70.000000,90.000000,top
"C3","C 10uF/63v","C_1210_3225Metric",127.500000,-70.000000,90.000000,top
"C4","100nF/50v","C_0805_2012Metric",117.500000,-70.000000,90.000000,top
"C5","C 47uF/16v","C_1210_3225Metric",120.000000,-65.000000,-90.000000,top
"D1","PMEG6010CEH,115","D_SOD-123F",120.000000,-51.400000,90.000000,top
"D2","PMEG6010CEH,115","D_SOD-123F",87.500000,-75.000000,180.000000,top
"D3","BAT54","SOT-23",100.000000,-73.000000,0.000000,top
"J1","RJ12","RJ12_5324_6P6C",77.340000,-80.000000,-90.000000,top
"J2","RJ12","RJ12_5324_6P6C",77.340000,-98.550000,-90.000000,top
"J3","Header","PinHeader_1x04_P2.54mm_Vertical",95.000000,-77.500000,0.000000,top
"J4","Conn_02x12_Counter_Clockwise","DIP-24_18.0mmx34.29mm_W15.24mm_Socket",69.800000,-67.740000,90.000000,top
"L1","L 120uH","L_10.4x10.4_H4.8",112.500000,-56.650000,-90.000000,top
"Q1","MMBT3904","SOT-23_MCC",101.623700,-101.541150,90.000000,top
"R1","R100k","R_0603_1608Metric",87.500000,-100.825000,90.000000,top
"R2","R100k","R_0603_1608Metric",87.500000,-95.000000,90.000000,top
"R3","R560","R_0603_1608Metric",107.500000,-95.825000,-90.000000,top
"R4","R100k","R_0603_1608Metric",107.500000,-101.675000,90.000000,top
"U1","LM2678S-5.0/NOPB","TO-263-7_TabPin4",133.425000,-57.775000,0.000000,top
